iso,nom,name,nbInstitution,institutionsFR,institutionsEN,exactions,baroNetPrison,baroNetTue,baroJournalistePrison,baroJournalisteTue,index2014,capitaleFR,latitudeCapitale,longitudeCapitale
PRK,Corée du Nord,DPRK,3,"""Agence centrale de l'Information Scientifique et Technologique (CSTIA)"", ""Groupe 109"", ""Département 27""","""Central Scientific and Technological Information Agency (CSTIA)"", ""Group 109"", ""Department 27""","""Censure"", ""Surveillance, ""Désinformation"", ""Prison""",1,,,,179,Pyongyang,39.2N,125.45E
ETH,Ethiopie,Ethiopia,1,"""Agence de sécurité des réseaux d'information (INSA)""","""The Information Network Security Agency (INSA)""","""Surveillance"", ""Censure"", ""Prison""",,,5,,143,Addis Ababa,09.02N,38.42E
ARE,Emirats arabes unis,United Arab Emirates,2,"""Autorité de régulation des télécommunications (TRA)"", ""Unités de lutte contre la cybercriminalité""","""Telecommunications Regulatory Authority (TRA)"", ""Anti-Electronic Crimes Unit""","""Surveillance"", ""Censure"", ""Prison""",2,0,0,,118,Abu Dhabi,24.28N,54.22E
PAK,Pakistan,Pakistan,1,"""Autorité des Télécommunications du Pakistan (PTA)""","""Pakistan Telecommunication Authority (PTA)""","""Censure""",,,1,,158,Islamabad,33.40N,73.10E
IND,Inde,India,1,"""Centre de développement des télématiques (C-DOT)""","""Center for Development of Telematics (C-DOT)""","""Surveillance""",,,2,,140,New Delhi,28.37N,77.13E
UZB,Ouzbékistan,Uzbekistan,1,"""Commission d’experts sur l’information et les communications de masse""","""Expert Commission on Information and Mass Communications""","""Surveilance"", ""Censure"", ""Prison""",,,9,,166,Tashkent,41.20N,69.10E
SAU,Arabie saoudite,Saudi Arabia,2,"""Commission en charge des communications et des technologies de l’information CITC"", ""Unité des services d’Internet (ISU)""","""Communication and Information Technology Commission (CITC)"", ""Internet Services Unit (ISU)""","""Censure"", ""Surveillance"", ""Prison""",1,,1,,164,Riyadh,24.41N,46.42E
IRN,Iran,Islamic Republic of Iran,3,"""Gardiens de la révolution"", ""Conseil suprême du cyberespace"", ""Groupe de travail de détermination de contenus criminels""","""Revolutionary Guards"", ""Supreme Council for Cyberspace"", "" Working Group to Determine Instances of Criminal Content""","""Censure"", ""Prison""",21,,20,,173,Teheran,35.4029N,51.2520E
GBR,Royaume-Uni,United Kingdom,1,"""Government Communications Headquarters (GCHQ)""","""Government Communications Headquarters (GCHQ)""","""Surveillance""",,,,,33,London,51.36N,00.05W
BHR,Bahreïn,Bahrain,2,"""Le ministère de l’intérieur"", ""L'appareil de sécurité intérieur (NSA)"" ","""Ministry of interior"", ""National security apparatus (NSA)"" ","""Surveillance"", ""Censure"", ""Prison""",2,,4,,163,Manama,26.10N,50.30E
ZAF,Afrique du Sud,South Africa,,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,42,Pretoria,25.44S,28.12E
BRA,Brésil,Brazil,,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,111,Brasilia,15.47S,47.55W
ARE,Emirats arabes unis,United Arab Emirates,,"""ISS World""","""ISS World""","""Surveillance""",2,0,0,0,118,Abu Dhabi,24.28N,54.22E
USA,Etats-Unis,United States,,"""ISS World""","""ISS World""","""Surveillance""",1,0,1,0,46,Washington,38.53N,77.02W
MYS,Malaisie,Malaysia,,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,147,Kuala Lumpur,03.09N,101.41E
CZE,République tchèque,Czech Republic,,"""ISS World""","""ISS World""","""Surveillance""",0,0,0,0,13,Prague,50.05N,14.22E
CHN,Chine,China,1,"""Le Bureau d'Etat de l'information sur Internet (SIIO)""","""State Internet Information Office (SIIO""","""Censure"", ""Surveillance"", ""Prison""",70,,30,,175,Beijing,39.55N,116.20E
BLR,Bélarus,Belarus,1,"""Le Centre Analytique des Opérations (OAC)""","""Operations and Analysis Centre (OAC)""","""Censure"", ""Surveillance"", ""Prison""",,,,,157,Minsk,53.52N,27.30E
CUB,Cuba,Cuba,1,"""Le ministère de l’Informatique et des Communications ""","""Ministry of Informatics and Communications""","""Censure"", ""Surveillance"", ""Prison""",1,,1,,170,Havana,23.08N,82.22W
QAT,Qatar,Qatar,,"""Milipol""","""Milipol""","""Surveillance""",0,0,0,0,113,Doha,25.15N,51.35E
FRA,France,France,,"""Milipol"",""TAC""","""Milipol"",""TAC""","""Surveillance""",0,0,0,0,39,Paris,48.50N,02.20E
VNM,Vietnam,Vietnam,1,"""Ministère de l’Information et des Communications (MIC)""","""Ministry of Information and Communications (MIC)""","""Surveillance"", ""Censure"", ""Prison""",34,,2,,174,Hanoï,21.2N,105.51E
USA,Etats-Unis,United States,1,"""National Security Agency (NSA)""","""National Security Agency (NSA)""","""Surveillance"", ""Prison""",1,,1,,46,Washington,38.53N,77.02W
RUS,Russie,Russian Federation,1,"""Service fédéral de sécurité de la Fédération de Russie (FSB)""","""Federal Security Service of the Russian Federation (FSB)""","""Surveillance"", ""Censure"", ""Prison""",,,2,,148,Moscou,55.45N,37.42E
